pruid,prname,date,numtotal,numdeathstoday
35,Ontario,2020-01-31,3,0
59,British Columbia,2020-01-31,1,0
1,Canada,2020-01-31,4,0
35,Ontario,2020-02-08,3,0
59,British Columbia,2020-02-08,4,0
1,Canada,2020-02-08,7,0
35,Ontario,2020-02-16,3,0
59,British Columbia,2020-02-16,5,0
1,Canada,2020-02-16,8,0
35,Ontario,2020-02-21,3,0
59,British Columbia,2020-02-21,6,0
1,Canada,2020-02-21,9,0
35,Ontario,2020-02-24,4,0
59,British Columbia,2020-02-24,6,0
1,Canada,2020-02-24,10,0
35,Ontario,2020-02-25,4,0
59,British Columbia,2020-02-25,7,0
1,Canada,2020-02-25,11,0
35,Ontario,2020-02-26,5,0
59,British Columbia,2020-02-26,7,0
1,Canada,2020-02-26,12,0
35,Ontario,2020-02-27,6,0
59,British Columbia,2020-02-27,7,0
1,Canada,2020-02-27,13,0
35,Ontario,2020-02-29,8,0
59,British Columbia,2020-02-29,7,0
1,Canada,2020-02-29,15,0
35,Ontario,2020-03-01,15,0
59,British Columbia,2020-03-01,8,0
24,Quebec,2020-03-01,1,0
1,Canada,2020-03-01,24,0
35,Ontario,2020-03-03,20,0
59,British Columbia,2020-03-03,12,0
24,Quebec,2020-03-03,1,0
1,Canada,2020-03-03,33,0
35,Ontario,2020-03-05,22,0
59,British Columbia,2020-03-05,21,0
24,Quebec,2020-03-05,2,0
1,Canada,2020-03-05,45,0
35,Ontario,2020-03-06,28,0
59,British Columbia,2020-03-06,21,0
24,Quebec,2020-03-06,2,0
1,Canada,2020-03-06,51,0
35,Ontario,2020-03-07,28,0
59,British Columbia,2020-03-07,27,0
24,Quebec,2020-03-07,2,0
1,Canada,2020-03-07,57,0
35,Ontario,2020-03-08,31,0
59,British Columbia,2020-03-08,27,1
24,Quebec,2020-03-08,3,0
48,Alberta,2020-03-08,1,0
1,Canada,2020-03-08,62,1
35,Ontario,2020-03-09,34,0
59,British Columbia,2020-03-09,32,0
24,Quebec,2020-03-09,4,0
48,Alberta,2020-03-09,7,0
1,Canada,2020-03-09,77,0
59,British Columbia,2020-03-11,39,0
48,Alberta,2020-03-11,14,0
47,Saskatchewan,2020-03-11,0,0
46,Manitoba,2020-03-11,0,0
35,Ontario,2020-03-11,42,1
24,Quebec,2020-03-11,7,0
13,New Brunswick,2020-03-11,0,0
10,Newfoundland and Labrador,2020-03-11,0,0
12,Nova Scotia,2020-03-11,0,0
11,Prince Edward Island,2020-03-11,0,0
61,Northwest Territories,2020-03-11,0,0
62,Nunavut,2020-03-11,0,0
60,Yukon,2020-03-11,0,0
99,Repatriated travellers,2020-03-11,1,0
1,Canada,2020-03-11,103,1
59,British Columbia,2020-03-12,46,0
48,Alberta,2020-03-12,19,0
47,Saskatchewan,2020-03-12,1,0
46,Manitoba,2020-03-12,1,0
35,Ontario,2020-03-12,59,0
24,Quebec,2020-03-12,13,0
10,Newfoundland and Labrador,2020-03-12,0,0
13,New Brunswick,2020-03-12,1,0
12,Nova Scotia,2020-03-12,0,0
11,Prince Edward Island,2020-03-12,0,0
60,Yukon,2020-03-12,0,0
61,Northwest Territories,2020-03-12,0,0
62,Nunavut,2020-03-12,0,0
99,Repatriated travellers,2020-03-12,1,0
1,Canada,2020-03-12,141,0
59,British Columbia,2020-03-13,53,0
48,Alberta,2020-03-13,23,0
47,Saskatchewan,2020-03-13,1,0
46,Manitoba,2020-03-13,3,0
35,Ontario,2020-03-13,79,0
24,Quebec,2020-03-13,17,0
10,Newfoundland and Labrador,2020-03-13,0,0
13,New Brunswick,2020-03-13,1,0
12,Nova Scotia,2020-03-13,0,0
11,Prince Edward Island,2020-03-13,0,0
60,Yukon,2020-03-13,0,0
61,Northwest Territories,2020-03-13,0,0
62,Nunavut,2020-03-13,0,0
99,Repatriated travellers,2020-03-13,2,0
1,Canada,2020-03-13,179,0
59,British Columbia,2020-03-14,64,0
