week_end,pruid,prename,numtotal_atleast1dose,numtotal_partially,numtotal_fully,numtotal_additional
2020-12-19,1,Canada,12362,12362,0,
2020-12-19,10,Newfoundland and Labrador,972,972,0,
2020-12-19,12,Nova Scotia,1092,1092,0,
2020-12-19,24,Quebec,4728,4728,0,
2020-12-19,46,Manitoba,894,894,0,
2020-12-19,47,Saskatchewan,1042,1042,0,
2020-12-19,59,British Columbia,3634,3634,0,
2020-12-19,60,Yukon,0,0,0,
2020-12-19,61,Northwest Territories,0,0,0,
2020-12-19,62,Nunavut,0,0,0,
2020-12-26,1,Canada,46156,46156,0,
2020-12-26,10,Newfoundland and Labrador,1785,1785,0,
2020-12-26,11,Prince Edward Island,1146,1146,0,
2020-12-26,12,Nova Scotia,2218,2218,0,
2020-12-26,13,New Brunswick,2606,2606,0,
2020-12-26,24,Quebec,17216,17216,0,
2020-12-26,46,Manitoba,2177,2177,0,
2020-12-26,47,Saskatchewan,1769,1769,0,
2020-12-26,48,Alberta,4792,4792,0,
2020-12-26,59,British Columbia,12447,12447,0,
2020-12-26,60,Yukon,0,0,0,
2020-12-26,61,Northwest Territories,0,0,0,
2020-12-26,62,Nunavut,0,0,0,
2021-01-02,1,Canada,82512,82512,0,
2021-01-02,10,Newfoundland and Labrador,1785,1785,0,
2021-01-02,11,Prince Edward Island,1669,1669,0,
2021-01-02,12,Nova Scotia,2720,2720,0,
2021-01-02,13,New Brunswick,2886,2886,0,
2021-01-02,24,Quebec,28305,28305,,
2021-01-02,46,Manitoba,3432,3432,0,
2021-01-02,47,Saskatchewan,3540,3540,0,
2021-01-02,48,Alberta,13383,13383,0,
2021-01-02,59,British Columbia,24670,24670,0,
2021-01-02,60,Yukon,0,0,0,
2021-01-02,61,Northwest Territories,122,122,0,
2021-01-02,62,Nunavut,0,0,0,
2021-01-09,1,Canada,217345,212824,4521,
2021-01-09,10,Newfoundland and Labrador,2847,1994,853,
2021-01-09,11,Prince Edward Island,2475,2475,0,
2021-01-09,12,Nova Scotia,2755,1679,1076,
2021-01-09,13,New Brunswick,6241,6241,0,
2021-01-09,24,Quebec,83278,83278,,
2021-01-09,46,Manitoba,8694,7814,880,
2021-01-09,47,Saskatchewan,5516,4563,953,
2021-01-09,48,Alberta,44298,43574,724,
2021-01-09,59,British Columbia,60215,60180,35,
2021-01-09,60,Yukon,495,495,0,
2021-01-09,61,Northwest Territories,511,511,0,
2021-01-09,62,Nunavut,20,20,0,
2021-01-16,1,Canada,564921,538173,26748,
2021-01-16,10,Newfoundland and Labrador,4250,2516,1734,
2021-01-16,11,Prince Edward Island,4293,2906,1387,
2021-01-16,12,Nova Scotia,5740,3533,2207,
2021-01-16,13,New Brunswick,7918,5353,2565,
2021-01-16,24,Quebec,145783,145783,,
2021-01-16,35,Ontario,189240,178383,10857,
2021-01-16,46,Manitoba,16499,14355,2144,
2021-01-16,47,Saskatchewan,14283,12551,1732,
2021-01-16,48,Alberta,81859,77784,4075,
2021-01-16,59,British Columbia,89715,89668,47,
2021-01-16,60,Yukon,1309,1309,0,
2021-01-16,61,Northwest Territories,1891,1891,0,
2021-01-16,62,Nunavut,2141,2141,0,
2021-01-23,1,Canada,775500,716206,59294,
2021-01-23,10,Newfoundland and Labrador,7448,5711,1737,
2021-01-23,11,Prince Edward Island,5211,3327,1884,
2021-01-23,12,Nova Scotia,8288,5580,2708,
2021-01-23,13,New Brunswick,11516,8675,2841,
2021-01-23,24,Quebec,218827,218827,,
2021-01-23,35,Ontario,249132,217691,31441,
2021-01-23,46,Manitoba,25839,22443,3396,
2021-01-23,47,Saskatchewan,23663,21205,2458,
2021-01-23,48,Alberta,89557,80088,9469,
2021-01-23,59,British Columbia,118150,114790,3360,
2021-01-23,60,Yukon,3950,3950,0,
2021-01-23,61,Northwest Territories,9471,9471,0,
2021-01-23,62,Nunavut,4448,4448,0,
2021-01-30,1,Canada,859240,745591,113649,
2021-01-30,10,Newfoundland and Labrador,8353,5591,2762,
2021-01-30,11,Prince Edward Island,5279,2714,2565,
2021-01-30,12,Nova Scotia,12090,9361,2729,
2021-01-30,13,New Brunswick,12791,8326,4465,
2021-01-30,24,Quebec,239485,239485,,
2021-01-30,35,Ontario,270795,201946,68849,
2021-01-30,46,Manitoba,32441,23938,8503,
2021-01-30,47,Saskatchewan,27215,24143,3072,
2021-01-30,48,Alberta,90238,74244,15994,
2021-01-30,59,British Columbia,135501,130909,4592,
2021-01-30,60,Yukon,7355,7355,0,
2021-01-30,61,Northwest Territories,12233,12115,118,
2021-01-30,62,Nunavut,5464,5464,0,
2021-02-06,1,Canada,901402,727623,173779,
2021-02-06,10,Newfoundland and Labrador,8890,4822,4068,
2021-02-06,11,Prince Edward Island,5302,1789,3513,
2021-02-06,12,Nova Scotia,12849,7716,5133,
2021-02-06,13,New Brunswick,13250,7837,5413,
2021-02-06,24,Quebec,257501,257501,,
2021-02-06,35,Ontario,277440,175696,101744,
2021-02-06,46,Manitoba,33641,19998,13643,
2021-02-06,47,Saskatchewan,29747,24353,5394,
2021-02-06,48,Alberta,90668,68989,21679,
2021-02-06,59,British Columbia,142999,130871,12128,
2021-02-06,60,Yukon,10447,9968,479,
2021-02-06,61,Northwest Territories,12830,12531,299,
2021-02-06,62,Nunavut,5838,5552,286,
2021-02-13,1,Canada,973060,665691,307369,
2021-02-13,10,Newfoundland and Labrador,9792,4343,5449,
2021-02-13,11,Prince Edward Island,5690,797,4893,
2021-02-13,12,Nova Scotia,14727,6688,8039,
2021-02-13,13,New Brunswick,13646,6148,7498,
2021-02-13,24,Quebec,293734,293734,,
2021-02-13,35,Ontario,292983,118340,174643,
2021-02-13,46,Manitoba,34848,14442,20406,
2021-02-13,47,Saskatchewan,32867,23322,9545,
2021-02-13,48,Alberta,94996,44314,50682,
2021-02-13,59,British Columbia,149182,126548,22634,
