Date,Age Group,Sex,Sinovac 1st dose,Sinovac 2nd dose,Sinovac 3rd dose,BioNTech 1st dose,BioNTech 2nd dose,BioNTech 3rd dose,Age Total,,,,Date,Day total,,,,Day Sum
22/2/2021,30-39,M,1,0,0,0,0,0,1,,,,22/2/2021,47,9,2,10,47
22/2/2021,40-49,F,1,0,0,0,0,0,1,,,,23/2/2021,532,15,11,25,579
22/2/2021,40-49,M,11,0,0,0,0,0,11,,,,26/2/2021,6066,16,26,41,6645
22/2/2021,50-59,F,2,0,0,0,0,0,2,,,,27/2/2021,7040,16,42,57,13685
22/2/2021,50-59,M,10,0,0,0,0,0,10,,,,28/2/2021,7015,16,58,73,20700
22/2/2021,60-69,F,6,0,0,0,0,0,6,,,,1/3/2021,6408,16,74,89,27108
22/2/2021,60-69,M,7,0,0,0,0,0,7,,,,2/3/2021,13071,16,90,105,40179
22/2/2021,70-79,F,1,0,0,0,0,0,1,,,,3/3/2021,11668,16,106,121,51847
22/2/2021,70-79,M,8,0,0,0,0,0,8,,,,4/3/2021,10389,16,122,137,62236
23/2/2021,0-19,M,1,0,0,0,0,0,1,,,,5/3/2021,10138,16,138,153,72374
23/2/2021,20-29,F,6,0,0,0,0,0,6,,,,6/3/2021,11656,16,154,169,84030
23/2/2021,20-29,M,8,0,0,0,0,0,8,,,,7/3/2021,8992,16,170,185,93022
23/2/2021,30-39,F,13,0,0,0,0,0,13,,,,8/3/2021,10824,16,186,201,103846
23/2/2021,30-39,M,39,0,0,0,0,0,39,,,,9/3/2021,9676,16,202,217,113522
23/2/2021,40-49,F,35,0,0,0,0,0,35,,,,10/3/2021,17022,16,218,233,130544
23/2/2021,40-49,M,75,0,0,0,0,0,75,,,,11/3/2021,15360,16,234,249,145904
23/2/2021,50-59,F,26,0,0,0,0,0,26,,,,12/3/2021,16323,16,250,265,162227
23/2/2021,50-59,M,93,0,0,0,0,0,93,,,,13/3/2021,14881,16,266,281,177108
23/2/2021,60-69,F,56,0,0,0,0,0,56,,,,14/3/2021,13620,16,282,297,190728
23/2/2021,60-69,M,118,0,0,0,0,0,118,,,,15/3/2021,15363,16,298,313,206091
23/2/2021,70-79,F,22,0,0,0,0,0,22,,,,16/3/2021,23327,16,314,329,229418
23/2/2021,70-79,M,27,0,0,0,0,0,27,,,,17/3/2021,24600,16,330,345,254018
23/2/2021,80 and above,F,7,0,0,0,0,0,7,,,,18/3/2021,22627,16,346,361,276645
23/2/2021,80 and above,M,6,0,0,0,0,0,6,,,,19/3/2021,27604,16,362,377,304249
26/2/2021,0-19,F,13,0,0,0,0,0,13,,,,20/3/2021,26368,16,378,393,330617
26/2/2021,0-19,M,10,0,0,0,0,0,10,,,,21/3/2021,23820,16,394,409,354437
26/2/2021,20-29,F,45,0,0,0,0,0,45,,,,22/3/2021,25255,16,410,425,379692
26/2/2021,20-29,M,47,0,0,0,0,0,47,,,,23/3/2021,23833,16,426,441,403525
26/2/2021,30-39,F,101,0,0,0,0,0,101,,,,24/3/2021,9775,16,442,457,413300
26/2/2021,30-39,M,149,0,0,0,0,0,149,,,,25/3/2021,8220,16,458,473,421520
